cid,YEAR_RECOR,STATE_CODE,ROUTE_ID,ROUTE_NUMB,ROUTE_NAME,ROUTE_QUAL,ROUTE_SIGN,F_SYSTEM,FACILITY_T,URBAN_CODE,NHS,STRAHNET,OWNERSHIP,TRUCK,THROUGH_LA,PEAK_LANES,COUNTER_PE,SHOULDER_T,SHOULDER_W,SHOULDER_1,LANE_WIDTH,MEDIAN_TYP,MEDIAN_WID,ACCESS_CON,WIDENING_O,WIDENING_P,HOV_LANES,HOV_TYPE,SPEED_LIMI,TOLL_CHARG,TOLL_ID,TOLL_TYPE,AADT,AADT_COMBI,AADT_SINGL,PCT_PEAK_C,PCT_PEAK_S,K_FACTOR,DIR_FACTOR,IRI,PSR,SURFACE_TY,CRACKING_P,FAULTING,RUTTING,STRUCTURE_,YEAR_LAST_,YEAR_LAST1,IS_SAMPLE,SAMPLE_ID,EXPANSION_,National_R,TMC,TMC_Type,TMC_RoadNu,TMC_RoadNa,TMC_FirstN,TMC_Countr,TMC_State,TMC_County,TMC_Zip,TMC_Direct,TMC_StartL,TMC_Star_1,TMC_EndLat,TMC_EndLon,TMC_Miles,Shape_Leng,StreetImageryDate,MedianType,SecondaryAttribute,MedianWidth,RoadsideBarrier,MedianNotes,Latitude,Longitude,bldg_dist,nhd_dist,ow_dist,dev_dist,dev_int_dist,barren_dist,forest_dist,shrub_dist,grassland_dist,cultivated_dist,wetland_dist,wet_dist
1713,2016,6,SHS_089_S,89,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,2650,160,151,NA,NA,NA,NA,88,NA,2,0,NA,0.085,0,NA,NA,0,NA,0,6_SHS_089_S,105-08779,P1.11,CA-89,NA,CR-A22/Arlington Rd,United States,California,Plumas,95947,Southbound,40.139739,-120.950921,40.085842,-120.918909,5.621052554,0.001274086,Mar-22,no median,NA,NA,"tall fence, cable",NA,40.10918656,-120.9076067,95,30,2330,0,42,17870,127,67,30,485,255,255
1714,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,4,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,9400,768,191,NA,NA,NA,NA,52,NA,2,9.3,NA,0.226,0,NA,NA,0,NA,0,6_SHS_395_P,105+07526,P1.3,US-395,NA,CA-70,United States,California,Lassen,96109,Northbound,39.673992,-120.00121,39.770899,-120.038436,7.362413713,0.001316518,Aug-24,vegetative,grass,40-50 meters,cable,NA,39.72276097,-120.0377978,524,459,6004,0,0,6547,4813,30,319,7027,470,470
1715,2016,6,SHS_395_P,395,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,6300,690,101,NA,NA,NA,NA,55,NA,2,0,NA,0.172,0,NA,NA,0,NA,0,6_SHS_395_P,105+08474,P1.11,US-395,NA,CR-A26/Garnier Rd,United States,California,Lassen,96109,Northbound,39.778325,-120.0382634,40.090829,-120.171973,25.02454263,0.001523945,Aug-24,no median,NA,NA,cable,NA,39.80988029,-120.0331655,295,324,4994,0,0,6964,4992,30,95,8101,3360,3360
1716,2016,6,SHS_299_P,299,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1300,315,79,NA,NA,NA,NA,185,NA,2,28.4,NA,0.2,0,NA,NA,0,NA,0,6_SHS_299_P,105+07582,P1.11,CA-299,NA,US-395/N Main St,United States,California,Modoc,96101,Eastbound,41.4386942,-120.8776406,41.494524,-120.542586,18.7555244,0.001857387,Aug-24,no median,NA,NA,cable,NA,41.45410896,-120.8317035,85,180,210,0,42,631,1295,120,30,60,258,210
1717,2016,6,SHS_044_P,44,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,4875,602,98,NA,NA,NA,NA,69,NA,2,0,NA,0.068,0,NA,NA,0,NA,0,6_SHS_044_P,105-08752,P1.11,CA-44,NA,Wilson Hill Rd/Emigrant Trl,United States,California,Shasta,96088,Eastbound,40.5141234,-122.0315834,40.492503,-121.887248,8.812333232,0.001754438,Oct-23,no median,NA,NA,short fence,NA,40.51345512,-122.0231525,85,902,902,0,30,6120,30,30,90,3076,382,382
1718,2016,6,SHS_005_P,5,NA,0,0,1,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,19200,4340,538,NA,NA,NA,NA,30,NA,2,0,NA,0.142,0,NA,NA,0,NA,0,6_SHS_005_P,105+05400,P1.3,I-5,NA,Slate Creek Rd,United States,California,Shasta,96051,Northbound,40.941108,-122.43049,40.9781258,-122.4324924,3.12202888,0.001583114,Nov-18,concrete,NA,NA,thrie beam,NA,40.97473041,-122.4324361,268,0,120,0,0,649,120,30,67,2278,192,120
1719,2016,6,SHS_005_S,5,NA,10,2,1,2,99999,1,0,1,0,5,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,40000,5445,825,NA,NA,NA,NA,48,NA,2,0,NA,0.179,0,NA,NA,0,NA,0,6_SHS_005_S,105-05366,P3.4,I-5,NA,Herbert S Miles Rest Area,United States,California,Tehama,96080,Southbound,40.289978,-122.278999,40.253688,-122.262718,2.66469361,0.001425161,Jul-24,"vegetative, gravel",grass,10-20 meters,thrie beam,NA,40.28114023,-122.2736718,339,400,2053,0,0,3937,180,30,60,5113,1566,1566
1720,2016,6,SHS_005_S,5,NA,10,2,1,2,99998,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,29500,5289,655,1.972,0.244,11,50,93,NA,3,0,0.022,NA,0,NA,NA,0,NA,0,6_SHS_005_S,105N05360,P1.3,I-5,NA,CA-99W/Main St/Exit 647,United States,California,Tehama,96080,Southbound,40.157909,-122.2234588,40.1522442,-122.2236298,0.392781037,0.001438735,Jul-24,"vegetative, gravel","On/off ramp, sparse shrubs/trees",<10 meters,NA,NA,40.15642192,-122.223638,150,384,570,0,0,30,3183,2905,67,60,607,570
1721,2016,6,SHS_139_P,139,NA,10,4,3,2,99999,1,0,1,0,2,2,2,2,8,0,12,1,0,2,ABC,0,0,0,65,0,NA,0,870,332,22,5.343,0.354,14,58,74,NA,2,53.5,NA,0.143,0,NA,NA,1,SPX16X303149,1.707,6_SHS_139_P,105+09016,P1.11,CA-139,NA,Lookout Hackamore Rd,United States,California,Modoc,96015,Northbound,41.4998276,-120.9799326,41.5399,-121.153032,9.502347086,0.001675437,Aug-24,no median,NA,NA,NA,NA,41.5004447,-120.9831855,6305,285,511,0,42,1637,95,30,124,5464,335,335
1722,2016,6,SHS_003_P,3,NA,10,4,4,2,99999,0,0,1,0,2,2,2,2,3,0,12,1,0,3,ABC,0,0,0,65,0,NA,0,660,42,65,0.764,1.182,12,66,58,NA,2,7.9,NA,0.121,0,NA,NA,1,SPX16X278973,8.701,6_SHS_003_P,105+20684,P1.11,CA-3,NA,Mule Creek Rd,United States,California,Trinity,96091,Northbound,40.7951974,-122.8905138,40.868707,-122.812167,10.60013566,0.001654721,Jul-24,no median,NA,NA,NA,NA,40.84923109,-122.8325258,247,190,404,0,162,366,30,283,541,12741,2809,404
