"cid","YEAR_RECOR","STATE_CODE","ROUTE_ID","ROUTE_NUMB","ROUTE_NAME","ROUTE_QUAL","ROUTE_SIGN","F_SYSTEM","FACILITY_T","URBAN_CODE","NHS","STRAHNET","OWNERSHIP","TRUCK","THROUGH_LA","PEAK_LANES","COUNTER_PE","SHOULDER_T","SHOULDER_W","SHOULDER_1","LANE_WIDTH","MEDIAN_TYP","MEDIAN_WID","ACCESS_CON","WIDENING_O","WIDENING_P","HOV_LANES","HOV_TYPE","SPEED_LIMI","TOLL_CHARG","TOLL_ID","TOLL_TYPE","AADT","AADT_COMBI","AADT_SINGL","PCT_PEAK_C","PCT_PEAK_S","K_FACTOR","DIR_FACTOR","IRI","PSR","SURFACE_TY","CRACKING_P","FAULTING","RUTTING","STRUCTURE_","YEAR_LAST_","YEAR_LAST1","IS_SAMPLE","SAMPLE_ID","EXPANSION_","National_R","TMC","TMC_Type","TMC_RoadNu","TMC_RoadNa","TMC_FirstN","TMC_Countr","TMC_State","TMC_County","TMC_Zip","TMC_Direct","TMC_StartL","TMC_Star_1","TMC_EndLat","TMC_EndLon","TMC_Miles","Shape_Leng","StreetImageryDate","MedianType","SecondaryAttribute","MedianWidth","RoadsideBarrier","MedianNotes","Latitude","Longitude","bldg_dist","nhd_dist","11_dist","21222324_dist","222324_dist","31_dist","414243_dist","5152_dist","71_dist","8182_dist","9095_dist","119095_dist"
769,2016,6,"SHS_395_P",395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,800,195,33,NA,NA,NA,NA,59,NA,2,1.3,NA,0.18,0,NA,NA,0,NA,0,"6_SHS_395_P","105+07528","P1.11","US-395",NA,"CA-299/12th St/N Main St","United States","California","Modoc",96101,"Northbound",40.866294,-120.460618,41.494524,-120.542586,45.6681463144,0.00163064742669,"11/2023","no median",NA,NA,NA,NA,41.1891712898232,-120.505169555031,1578,90,2398,0,30,30,95,30,150,1348,582,582
770,2016,6,"SHS_299_P",299,NA,10,3,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,4100,217,67,NA,NA,NA,NA,82,NA,2,5.8,NA,0.249,0,NA,NA,0,NA,0,"6_SHS_299_P","105+07579","P1.11","CA-299",NA,"CA-89","United States","California","Shasta",96065,"Eastbound",40.7556644,-122.0256232,40.937814,-121.6070076,33.0599570631,0.00162997013,"12/2023","no median","intersection",NA,NA,"T-junction, no break in median",40.9320071038448,-121.613777671003,430,1983,3341,0,30,2100,30,474,513,2805,2590,2590
771,2016,6,"SHS_395_P",395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1100,232,39,3.164,0.532,15,50,62,NA,2,9.6,NA,0.183,0,NA,NA,0,NA,0,"6_SHS_395_P","105+07528","P1.11","US-395",NA,"CA-299/12th St/N Main St","United States","California","Modoc",96101,"Northbound",40.866294,-120.460618,41.494524,-120.542586,45.6681463144,0.00157364482234,"11/2023","no median","pull-out",NA,"cable, thrie beam",NA,41.2422566055579,-120.504189981083,417,175,1627,0,0,3237,3461,182,124,42,30,30
772,2016,6,"SHS_395_P",395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,765,70,23,NA,NA,NA,NA,94,NA,2,0.8,NA,0.12,0,NA,NA,0,NA,0,"6_SHS_395_P","105+09211","P1.11","US-395",NA,"CR-133C","United States","California","Modoc",96108,"Northbound",41.668224,-120.386301,41.789838,-120.369565,8.54201199184,0.00152111303552,"12/2023","no median",NA,NA,"cable",NA,41.6935061838633,-120.375256663264,642,531,644,0,0,1944,930,30,60,450,162,162
773,2016,6,"SHS_032_P",32,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,1100,63,45,NA,NA,NA,NA,86,NA,2,0.2,NA,0.068,0,NA,NA,0,NA,0,"6_SHS_032_P","105+07566","P1.11","CA-32",NA,"CA-89/CA-36","United States","California","Tehama",NA,"Eastbound",40.086246,-121.589348,40.2793982,-121.421222,21.3530167376,0.00166081470092,"10/2023","no median",NA,NA,NA,NA,40.2671845727099,-121.445031505599,2766,60,7789,0,30,16457,30,95,1050,17296,330,330
774,2016,6,"SHS_395_P",395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1100,232,39,3.164,0.532,15,50,65,NA,2,4.7,NA,0.197,0,NA,NA,0,NA,0,"6_SHS_395_P","105+07528","P1.11","US-395",NA,"CA-299/12th St/N Main St","United States","California","Modoc",96101,"Northbound",40.866294,-120.460618,41.494524,-120.542586,45.6681463144,0.00133618354384,"11/2023","no median",NA,NA,NA,NA,41.2577032369149,-120.504218790864,1048,1384,1785,0,0,2979,3989,30,42,1001,1100,1100
775,2016,6,"SHS_049_P",49,NA,10,4,4,2,99999,0,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,660,25,16,NA,NA,NA,NA,106,NA,2,23.1,NA,0.131,0,NA,NA,0,NA,0,"6_SHS_049_P","105+08335","P1.11","CA-49",NA,"CR-A24","United States","California","Plumas",96105,"Northbound",39.675809,-120.222496,39.7623816,-120.2092024,6.15636367041,0.00146250185709,"10/2022","no median",NA,NA,"cable",NA,39.7298153999608,-120.211952068033,454,400,5382,0,30,7381,2372,30,30,1299,1740,1740
776,2016,6,"SHS_299_P",299,NA,10,3,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,3150,203,118,NA,NA,NA,NA,57,NA,2,0.4,NA,0.072,0,NA,NA,0,NA,0,"6_SHS_299_P","105-08852","P1.11","CA-299",NA,"Cemetery Rd","United States","California","Trinity",96010,"Eastbound",40.7797998,-123.3088036,40.7688566001,-123.121891,13.9582917327,0.00172237692977,"10/2022","no median",NA,NA,NA,NA,40.7445869253464,-123.179102837726,2252,60,90,30,30,1170,108,0,108,23121,1292,90
777,2016,6,"SHS_003_P",3,NA,10,4,4,2,99999,0,0,1,0,2,2,0,2,5,0,12,1,0,2,"ABC",0,0,0,65,0,NA,0,170,6,11,0.6,1.1,17,50,117,NA,2,0.7,NA,0.119,0,NA,NA,1,"SPX16X279007",1.493,"6_SHS_003_P","105+20687","P1.11","CA-3",NA,"Bear Creek Loop","United States","California","Trinity",96091,"Northbound",41.086252,-122.707007,41.216418,-122.645865,10.3336234236,0.00162825585711,"07/2024","no median",NA,NA,NA,NA,41.1464818419635,-122.670846475984,2032,42,819,0,0,175,30,67,1273,1516,301,301
778,2016,6,"SHS_005_S",5,NA,10,2,1,2,99998,1,0,1,0,4,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,29500,5289,655,1.972,0.244,11,50,80,NA,3,0,0.018,NA,0,NA,NA,0,NA,0,"6_SHS_005_S","105N05360","P1.3","I-5",NA,"CA-99W/Main St/Exit 647","United States","California","Tehama",96080,"Southbound",40.157909,-122.2234588,40.1522442,-122.2236298,0.39278103652,0.000980323049771,"07/2024","gravel, thrie beam","break in median","10-20 meters","thrie beam, concrete",NA,40.1576087356547,-122.22347868909,120,255,518,0,0,150,3054,3024,108,85,497,497
779,2016,6,"SHS_299_P",299,NA,10,3,3,2,99999,1,0,1,0,2,2,2,2,8,0,12,1,0,2,"ABC",4,0,0,65,0,NA,0,4875,374,145,1.151,0.446,15,50,139,NA,2,1.3,NA,0.286,0,NA,NA,1,"SPX16X309613",6.232,"6_SHS_299_P","105-08730","P1.11","CA-299",NA,"Rock Creek Rd","United States","California","Shasta",96033,"Eastbound",40.669539,-122.645859,40.604386,-122.502299,9.65826771108,0.00176316041588,"07/2024","no median",NA,NA,"rocks",NA,40.627125848779,-122.544119225722,1865,153,170,0,0,785,90,67,30,13102,624,170
780,2016,6,"SHS_139_P",139,NA,10,4,3,2,99999,1,0,1,0,2,2,2,2,8,0,12,1,0,3,"ABC",0,0,0,65,0,NA,0,870,332,22,5.343,0.354,14,58,112,NA,2,0.2,NA,0.113,0,NA,NA,1,"SPX16X303150",1.707,"6_SHS_139_P","105+09016","P1.11","CA-139",NA,"Lookout Hackamore Rd","United States","California","Modoc",96015,"Northbound",41.4998276,-120.9799326,41.5398999997,-121.153032,9.50234708605,0.00170146017876,"07/2012","no median",NA,NA,"cable",NA,41.513745876571,-121.049402449863,8160,576,1024,30,67,6707,95,60,0,3929,95,95
781,2016,6,"SHS_395_P",395,NA,0,0,3,2,99999,1,0,1,0,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,880,331,308,NA,NA,NA,NA,96,NA,2,0,NA,0.186,0,NA,NA,0,NA,0,"6_SHS_395_P","105+07528","P1.11","US-395",NA,"CA-299/12th St/N Main St","United States","California","Modoc",96101,"Northbound",40.866294,-120.460618,41.494524,-120.542586,45.6681463144,0.00156817572357,"11/2023","no median",NA,NA,NA,NA,40.8890228474265,-120.481067857296,1844,467,6072,0,0,9863,1847,30,1008,1273,95,95
782,2016,6,"SHS_036_P",36,NA,0,0,4,2,99999,0,0,1,0,3,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,635,17,10,0.321,0.189,12,57,101,NA,2,0,NA,0.083,0,NA,NA,0,NA,0,"6_SHS_036_P","105+20667","P1.11","CA-36",NA,"CA-3","United States","California","Trinity",96041,"Eastbound",40.3925936,-123.2269274,40.4202822,-123.1757634,3.86843836615,0.000752779207333,"10/2023","no median",NA,NA,NA,NA,40.4039365811084,-123.198111557802,698,319,7749,0,0,7699,785,60,30,14179,6332,6332
